player_id,player_name,primary_team,competitions_played,n_matches_played,total_minutes_played,primary_position
9625,Glenn Whelan,Stoke City,Premier League,37,3276.0,Right Defensive Midfield
3533,Xherdan Shaqiri,Stoke City,Premier League,27,2049.0,Right Wing
4891,Ibrahim Afellay,Stoke City,Premier League,31,2173.0,Center Attacking Midfield
3325,Marko Arnautović,Stoke City,Premier League,34,2888.0,Left Wing
4913,Bojan Krkíc Pérez,Stoke City,Premier League,27,1741.0,Center Attacking Midfield
3333,David de Gea Quintana,Manchester United,Premier League,34,3190.0,Goalkeeper
3612,Ashley Young,Manchester United,Premier League,18,1114.0,Right Back
10958,Chris Smalling,Manchester United,Premier League,35,3280.0,Right Center Back
3311,Daley Blind,Manchester United,Premier League,35,3237.0,Left Center Back
4751,Michael Carrick,Manchester United,Premier League,28,2051.0,Right Center Midfield
3606,Ander Herrera Agüera,Manchester United,Premier League,27,1592.0,Center Attacking Midfield
3294,Juan Manuel Mata García,Manchester United,Premier League,38,2982.0,Right Wing
3296,Marouane Fellaini-Bakkioui,Manchester United,Premier League,18,1106.0,Right Center Midfield
2988,Memphis Depay,Manchester United,Premier League,29,1576.0,Left Wing
20039,Anthony Martial,Manchester United,Premier League,31,2741.0,Left Wing
3538,Wayne Mark Rooney,Manchester United,Premier League,28,2496.0,Center Forward
3603,Mame Biram Diouf,Stoke City,Premier League,26,1360.0,Center Forward
3636,Charlie Adam,Stoke City,Premier League,22,1104.0,Left Defensive Midfield
3265,José Luis Sanmartín Mato,Stoke City,Premier League,22,1164.0,Center Forward
3288,Miguel Ángel Britos Cabrera,Watford,Premier League,24,2162.0,Left Center Back
40118,Ikechi Anya,Watford,Premier League,28,1781.0,Left Back
3670,Jonathan Walters,Stoke City,Premier League,27,1821.0,Center Forward
19288,Martín Gastón Demichelis,Manchester City,Premier League,20,1082.0,Right Center Back
16003,Fernando Francisco Reges,Manchester City,Premier League,24,1792.0,Right Defensive Midfield
20287,John Terry,Chelsea,Premier League,24,2076.0,Left Center Back
4587,Matteo Darmian,Manchester United,Premier League,28,1984.0,Right Back
3600,Morgan Schneiderlin,Manchester United,Premier League,29,2306.0,Right Defensive Midfield
18414,Bastian Schweinsteiger,Manchester United,Premier League,18,1250.0,Left Defensive Midfield
3293,Jesse Lingard,Manchester United,Premier League,25,1695.0,Right Wing
3623,Adrián San Miguel del Castillo,West Ham United,Premier League,32,3012.0,Goalkeeper
3316,James Tomkins,West Ham United,Premier League,25,2042.0,Right Back
4280,Winston Reid,West Ham United,Premier League,24,2235.0,Right Center Back
3843,Angelo Obinze Ogbonna,West Ham United,Premier League,28,2441.0,Left Center Back
3062,Aaron Cresswell,West Ham United,Premier League,37,3472.0,Left Back
3963,Victor Moses,West Ham United,Premier League,21,1020.0,Right Wing
3874,Mark Noble,West Ham United,Premier League,37,3316.0,Left Center Midfield
3684,Cheikhou Kouyaté,West Ham United,Premier League,34,3141.0,Right Center Midfield
27853,Mauro Matías Zárate,West Ham United,"Premier League, Serie A",30,1570.0,Left Wing
4271,Andy Carroll,West Ham United,Premier League,27,1531.0,Center Forward
3349,Michail Antonio,West Ham United,Premier League,26,2133.0,Right Back
3897,Pedro Mba Obiang Avomo,West Ham United,Premier League,24,1173.0,Center Defensive Midfield
21254,Carl Jenkinson,West Ham United,Premier League,20,1302.0,Right Back
3490,James Morrison,West Bromwich Albion,Premier League,18,1392.0,Left Center Midfield
3464,James McArthur,Crystal Palace,Premier League,28,2254.0,Left Defensive Midfield
3329,Cédric Ricardo Alves Soares,Southampton,Premier League,24,2039.0,Right Back
11062,Graziano Pellè,Southampton,Premier League,30,2286.0,Center Forward
3726,Gerard Deulofeu Lázaro,Everton,Premier League,26,1445.0,Right Wing
16334,Graham Dorrans,Norwich City,Premier League,21,1341.0,Right Center Midfield
10966,Wes Hoolahan,Norwich City,Premier League,30,2032.0,Center Attacking Midfield
3267,Luis Antonio Valencia Mosquera,Manchester United,Premier League,14,905.0,Right Back
3602,Faustino Marcos Alberto Rojo,Manchester United,Premier League,16,1286.0,Left Back
3101,Vincent Kompany,Manchester City,Premier League,14,1226.0,Right Center Back
6560,Marc Muniesa Martínez,Stoke City,Premier League,15,1162.0,Left Center Back
3077,Jan Vertonghen,Tottenham Hotspur,Premier League,29,2697.0,Left Center Back
3041,Ciaran Clark,Aston Villa,Premier League,18,1520.0,Left Center Back
42699,Gabriel Imuetinyan Agbonlahor,Aston Villa,Premier League,15,1062.0,Center Forward
3086,Ben Davies,Tottenham Hotspur,Premier League,17,1359.0,Left Back
3300,Maya Yoshida,Southampton,Premier League,20,1094.0,Left Center Back
3595,Manuel Lanzini,West Ham United,Premier League,26,1967.0,Left Center Midfield
3491,Dimitri Payet,West Ham United,Premier League,30,2677.0,Left Wing
3962,Diafra Sakho,West Ham United,Premier League,21,1567.0,Center Forward
3651,Matt Targett,Southampton,Premier League,14,1104.0,Left Back
6870,José Manuel Jurado Marín,Watford,Premier League,27,2036.0,Left Midfield
3509,Thibaut Courtois,Chelsea,Premier League,23,2114.0,Goalkeeper
30702,Brendan Joel Zibusiso Galloway,Everton,Premier League,15,1268.0,Left Back
3973,Àngel Rangel Zaragoza,Swansea City,Premier League,23,1896.0,Right Back
3297,Andros Townsend,Newcastle United,Premier League,16,1205.0,Right Wing
3482,James Collins,West Ham United,Premier League,19,1508.0,Right Center Back
3052,Pablo Javier Zabaleta Girod,Manchester City,Premier League,13,1106.0,Right Back
3081,Jamaal Lascelles,Newcastle United,Premier League,18,1221.0,Left Center Back
